State,Year,LawName,Switching,Assaults_-16,Assaults_-15,Assaults_-14,Assaults_-13,Assaults_-12,Assaults_-11,Assaults_-10,Assaults_-9,Assaults_-8,Assaults_-7,Assaults_-6,Assaults_-5,Assaults_-4,Assaults_-3,Assaults_-2,Assaults_-1,Assaults_0,Assaults_1,Assaults_2,Assaults_3,Assaults_4,Assaults_5,Assaults_6,Assaults_7,Assaults_8,Assaults_9,Assaults_10,Assaults_11,Assaults_12,Assaults_13,Assaults_14,Assaults_15,Assaults_16
CO,2013,mcdvsurrendernoconditions,implemented,,,1649,1390,1552,1446,1531,2096,2688,2547,2154,2029,2059,1936,2217,2428,2542,2713,3142,3590,,,,,,,,,,,,,
CO,2013,recordsallh,implemented,,,1649,1390,1552,1446,1531,2096,2688,2547,2154,2029,2059,1936,2217,2428,2542,2713,3142,3590,,,,,,,,,,,,,
CO,2013,universal,implemented,,,1649,1390,1552,1446,1531,2096,2688,2547,2154,2029,2059,1936,2217,2428,2542,2713,3142,3590,,,,,,,,,,,,,
CO,2013,universalh,implemented,,,1649,1390,1552,1446,1531,2096,2688,2547,2154,2029,2059,1936,2217,2428,2542,2713,3142,3590,,,,,,,,,,,,,
CO,2013,universalpermit,implemented,,,1649,1390,1552,1446,1531,2096,2688,2547,2154,2029,2059,1936,2217,2428,2542,2713,3142,3590,,,,,,,,,,,,,
CO,2013,universalpermith,implemented,,,1649,1390,1552,1446,1531,2096,2688,2547,2154,2029,2059,1936,2217,2428,2542,2713,3142,3590,,,,,,,,,,,,,
CT,2002,relinquishment,implemented,,,,,,,,,,,,,,534,610,661,413,373,416,492,467,467,548,772,792,697,711,631,617,484,746,,
CT,2004,danger,implemented,,,,,,,,,,,,534,610,661,413,373,416,492,467,467,548,772,792,697,711,631,617,484,746,,,,
CT,2005,invoutpatient,implemented,,,,,,,,,,,534,610,661,413,373,416,492,467,467,548,772,792,697,711,631,617,484,746,,,,,
CT,2007,loststolen,implemented,,,,,,,,,534,610,661,413,373,416,492,467,467,548,772,792,697,711,631,617,484,746,,,,,,,
CT,2013,age18longgunpossess,implemented,,,534,610,661,413,373,416,492,467,467,548,772,792,697,711,631,617,484,746,,,,,,,,,,,,,
CT,2013,age18longgunsale,implemented,,,534,610,661,413,373,416,492,467,467,548,772,792,697,711,631,617,484,746,,,,,,,,,,,,,
CT,2013,amm18,implemented,,,534,610,661,413,373,416,492,467,467,548,772,792,697,711,631,617,484,746,,,,,,,,,,,,,
CT,2013,amm21h,implemented,,,534,610,661,413,373,416,492,467,467,548,772,792,697,711,631,617,484,746,,,,,,,,,,,,,
CT,2013,ammbackground,implemented,,,534,610,661,413,373,416,492,467,467,548,772,792,697,711,631,617,484,746,,,,,,,,,,,,,
CT,2013,ammpermit,implemented,,,534,610,661,413,373,416,492,467,467,548,772,792,697,711,631,617,484,746,,,,,,,,,,,,,
CT,2013,ammrestrict,implemented,,,534,610,661,413,373,416,492,467,467,548,772,792,697,711,631,617,484,746,,,,,,,,,,,,,
CT,2013,magazine,implemented,,,534,610,661,413,373,416,492,467,467,548,772,792,697,711,631,617,484,746,,,,,,,,,,,,,
CT,2013,onefeature,implemented,,,534,610,661,413,373,416,492,467,467,548,772,792,697,711,631,617,484,746,,,,,,,,,,,,,
CT,2013,tenroundlimit,implemented,,,534,610,661,413,373,416,492,467,467,548,772,792,697,711,631,617,484,746,,,,,,,,,,,,,
CT,2013,violent,implemented,,,534,610,661,413,373,416,492,467,467,548,772,792,697,711,631,617,484,746,,,,,,,,,,,,,
CT,2014,permit,implemented,,534,610,661,413,373,416,492,467,467,548,772,792,697,711,631,617,484,746,,,,,,,,,,,,,,
CT,2016,exparte,implemented,610,661,413,373,416,492,467,467,548,772,792,697,711,631,617,484,746,,,,,,,,,,,,,,,,
CT,2016,expartedating,implemented,610,661,413,373,416,492,467,467,548,772,792,697,711,631,617,484,746,,,,,,,,,,,,,,,,
CT,2016,expartesurrender,implemented,610,661,413,373,416,492,467,467,548,772,792,697,711,631,617,484,746,,,,,,,,,,,,,,,,
CT,2016,expartesurrenderdating,implemented,610,661,413,373,416,492,467,467,548,772,792,697,711,631,617,484,746,,,,,,,,,,,,,,,,
CT,2016,expartesurrendernoconditions,implemented,610,661,413,373,416,492,467,467,548,772,792,697,711,631,617,484,746,,,,,,,,,,,,,,,,
DE,2002,ccbackground,implemented,,,,,,,,,,,,,,623,508,384,414,617,512,731,804,829,971,843,824,738,859,743,861,930,1054,,
